hh_ids,m_ids,dem_i_male,dem_i_age_yrs,dem_i_age_5yrgrp,dem_i_age_workage,dem_i_relhead,dem_i_hhead,dem_i_marstat,dem_i_tribe,dem_i_children_tot,dem_i_children_inhh
"KELDK14","105136946020400000","Female",18,"[15 - 20)",1,"Aunt or uncle",0,"Never married/lived together","Kalenjin",,
"KELDK14","105136582937000000","Female",23,"[20 - 25)",1,"Husband or wife",0,"Married/living together","Kalenjin",1,0
"KELDK14","56134346314800000","Male",26,"[25 - 30)",1,"Household head",1,"Never married/lived together","Kalenjin",0,1
"KELDK15","65134433094700000","Male",30,"[30 - 35)",1,"Household head",1,"Married/living together","Kalenjin",2,3
"KELDK15","65134433107300000","Female",23,"[20 - 25)",1,"Husband or wife",0,"Married/living together","Kalenjin",2,3
"KELDK15","65134433126000000","Male",5,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK15","65134433117500000","Male",18,"[15 - 20)",1,"Niece or nephew",0,"Never married/lived together","Kalenjin",,
"KELDK15","65134433132000000","Female",3,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK16","65134426405900000","Male",33,"[30 - 35)",1,"Household head",1,"Married/living together","Kalenjin",2,3
"KELDK16","65134426544600000","Female",9,"[5 - 10)",0,"Niece or nephew",0,"Never married/lived together","Kalenjin",,
"KELDK16","65134426534400000","Female",30,"[30 - 35)",1,"Husband or wife",0,"Married/living together","Kalenjin",3,0
"KELDK16","65134426561400000","Male",2,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK16","65134426552800000","Male",0,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK17","56134329370700000","Male",16,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK17","56134329400000000","Female",6,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK17","56134329382800000","Male",11,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK17","56134329375100000","Female",14,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK17","56134329392900000","Male",8,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK17","56134329355600000","Female",38,"[35 - 40)",1,"Household head",1,"Widowed","Kalenjin",6,7
"KELDK17","56134329407000000","Female",19,"[15 - 20)",1,"Aunt or uncle",0,"Never married/lived together","Kalenjin",,
"KELDK17","56134329365500000","Male",18,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK17","56134329387200000","Female",10,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK18","56134328720400000","Female",53,"[50 - 55)",1,"Husband or wife",0,"Married/living together","Kalenjin",3,4
"KELDK18","56134328845500000","Male",27,"[25 - 30)",1,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK18","105136574775800000","Female",20,"[20 - 25)",1,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK18","56134328862400000","Male",23,"[20 - 25)",1,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK18","56134328868100000","Male",16,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK18","56134328473900000","Male",54,"[50 - 55)",1,"Household head",1,"Married/living together","Kalenjin",3,4
"KELDK19","56134391548700000","Female",11,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK19","56134391399600000","Female",32,"[30 - 35)",1,"Husband or wife",0,"Married/living together","Kalenjin",4,0
"KELDK19","56134391555000000","Female",8,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK19","105137579465700000","Male",0,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK19","56134388724900000","Male",41,"[40 - 45)",1,"Household head",1,"Married/living together","Kalenjin",4,0
"KELDK19","56134391540900000","Female",15,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK19","56134391570800000","Male",7,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK20","65134442600100000","Male",46,"[45 - 50)",1,"Household head",1,"Married/living together","Kalenjin",4,0
"KELDK20","65134442830700000","Female",15,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK20","65134442840400000","Female",9,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK20","65134442853800000","Male",5,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK20","65134442822400000","Female",34,"[30 - 35)",1,"Husband or wife",0,"Married/living together","Kalenjin",6,0
"KELDK20","65134442848200000","Male",9,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK21","65134441430300000","Female",51,"[50 - 55)",1,"Husband or wife",0,"Married/living together","Kalenjin",1,8
"KELDK21","65134441440100000","Male",24,"[20 - 25)",1,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK21","65134441454200000","Male",86,"[65+]",0,"Brother or sister",0,"Never married/lived together","Kalenjin",,
"KELDK21","65134441422200000","Male",56,"[55 - 60)",1,"Household head",1,"Married/living together","Kalenjin",1,8
"KELDK22","56134350017600000","Male",3,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK22","56134347076500000","Male",10,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Luhya",,
"KELDK22","56134347086100000","Male",5,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Luhya",,
"KELDK22","56134346796800000","Female",37,"[35 - 40)",1,"Household head",1,"Separated/divorced","Luhya",3,5
"KELDK23","56134356498800000","Male",37,"[35 - 40)",1,"Household head",1,"Married/living together","Luhya",0,5
"KELDK24","105137525539200000","Female",10,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Luhya",,
"KELDK24","56134380246800000","Female",34,"[30 - 35)",1,"Household head",1,"Married/living together","Kisii",0,4
"KELDK24","105137525767700000","Male",40,"[40 - 45)",1,"Husband or wife",0,"Married/living together","Luhya",3,0
"KELDK24","105137525718300000","Female",8,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Luhya",,
"KELDK24","84136557722100000","Female",16,"[15 - 20)",1,,0,"Never married/lived together","Luhya",,
"KELDK24","105136980992800000","Female",14,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Luhya",,
"KELDK24","105137525627100000","Male",8,"[5 - 10)",0,"Foster or adopted child",0,"Never married/lived together","Luhya",,
"KELDK25","56134363834500000","Male",38,"[35 - 40)",1,"Household head",1,"Separated/divorced","Kalenjin",0,1
"KELDK27","105136530871900000","Female",52,"[50 - 55)",1,"Husband or wife",0,"Married/living together","Luhya",1,6
"KELDK27","56134356844200000","Male",66,"[65+]",0,"Household head",1,"Married/living together","Luhya",0,4
"KELDK27","105136531006400000","Male",10,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Luhya",,
"KELDK28","65134432619200000","Female",13,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK28","65134432627700000","Female",14,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK28","65134432603700000","Female",38,"[35 - 40)",1,"Husband or wife",0,"Never married/lived together","Kalenjin",3,3
"KELDK28","65134432639500000","Female",5,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK28","65134432610100000","Male",40,"[40 - 45)",1,"Household head",1,"Married/living together","Kalenjin",3,3
"KELDK29","56134356046300000","Male",32,"[30 - 35)",1,"Household head",1,"Married/living together","Luhya",1,1
"KELDK29","56134356379000000","Female",4,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Luhya",,
"KELDK29","56134356200500000","Female",30,"[30 - 35)",1,"Husband or wife",0,"Married/living together","Luhya",1,2
"KELDK30","56134406066400000","Male",8,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK30","56134406071900000","Female",5,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK30","56134406057100000","Male",12,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK30","56134406111200000","Male",0,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK30","56134406040500000","Female",28,"[25 - 30)",1,"Husband or wife",0,"Married/living together","Kalenjin",5,0
"KELDK30","56134406078800000","Female",2,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK30","56134406024800000","Male",35,"[35 - 40)",1,"Household head",1,"Married/living together","Kalenjin",5,0
"KELDK31","65134435821000000","Female",3,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK31","65134435814400000","Female",6,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK31","65134435747500000","Female",25,"[25 - 30)",1,"Husband or wife",0,"Married/living together","Kalenjin",3,0
"KELDK31","65134435804600000","Female",7,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK31","65134435629400000","Male",32,"[30 - 35)",1,"Household head",1,"Married/living together","Kalenjin",3,0
"KELDK32","56134398775400000","Male",34,"[30 - 35)",1,"Household head",1,"Married/living together","Kalenjin",4,1
"KELDK32","56134398832400000","Female",3,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK32","56134398826400000","Female",6,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK32","56134398810900000","Female",32,"[30 - 35)",1,"Husband or wife",0,"Married/living together","Kalenjin",4,1
"KELDK32","56134398816500000","Male",10,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK32","56134398820500000","Male",8,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK33","56134371973100000","Female",9,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK33","56134372145900000","Male",6,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK33","56134372140200000","Male",7,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK33","56134371500500000","Female",54,"[50 - 55)",1,"Husband or wife",0,"Married/living together","Luhya",5,1
"KELDK33","56134364399500000","Male",45,"[45 - 50)",1,"Household head",1,"Married/living together","Kalenjin",5,1
"KELDK33","56134371690700000","Female",17,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK33","56134371825500000","Female",14,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK36","56134382808300000","Female",32,"[30 - 35)",1,"Husband or wife",0,"Married/living together","Kalenjin",2,0
"KELDK36","56134381592900000","Male",41,"[40 - 45)",1,"Household head",1,"Married/living together","Kalenjin",2,1
"KELDK36","56134382828200000","Male",13,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK36","56134382848000000","Female",12,"[10 - 15)",0,"Foster or adopted child",0,"Never married/lived together","Kalenjin",,
"KELDK36","56134382818300000","Male",7,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK37","65134432002400000","Female",24,"[20 - 25)",1,"Husband or wife",0,"Married/living together","Kalenjin",2,4
"KELDK37","65134432206400000","Male",12,"[10 - 15)",0,"Aunt or uncle",0,"Never married/lived together","Kalenjin",,
"KELDK37","65134432223800000","Female",2,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK37","65134432186900000","Male",29,"[25 - 30)",1,"Household head",1,"Married/living together","Kalenjin",2,4
"KELDK37","65134432213000000","Male",3,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK37","65134432196800000","Male",13,"[10 - 15)",0,"Brother or sister",0,"Never married/lived together","Kalenjin",,
"KELDK38","56134397318700000","Male",48,"[45 - 50)",1,"Household head",1,"Married/living together","Kalenjin",1,4
"KELDK38","56134397332300000","Male",22,"[20 - 25)",1,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDK38","56134397326000000","Female",43,"[40 - 45)",1,"Husband or wife",0,"Married/living together","Kalenjin",1,4
"KELDK40","56134380965500000","Female",33,"[30 - 35)",1,"Husband or wife",0,"Married/living together","Kalenjin",0,3
"KELDK40","56134380729800000","Male",37,"[35 - 40)",1,"Household head",1,"Never married/lived together","Kalenjin",0,3
"KELDL01","58134459163100000","Female",24,"[20 - 25)",1,"Husband or wife",0,"Married/living together","Kikuyu",,
"KELDL01","58134463313300000","Male",24,"[20 - 25)",1,"Household head",1,"Married/living together","Kikuyu",,
"KELDL01","50136852536300000","Female",0,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kikuyu",,
"KELDL01","108137697856600000","Female",15,"[15 - 20)",1,"Brother or sister",0,"Never married/lived together","Kikuyu",,
"KELDL02","58134383535800000","Female",26,"[25 - 30)",1,"Husband or wife",0,"Married/living together","Luhya",2,0
"KELDL02","58134383625000000","Female",3,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Luo",,
"KELDL02","58134383397900000","Male",27,"[25 - 30)",1,"Household head",1,"Married/living together","Luo",2,0
"KELDL02","58134384903200000","Female",0,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Luo",,
"KELDL05","58134436548100000","Female",1,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kikuyu",,
"KELDL05","58134436274600000","Female",11,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kikuyu",,
"KELDL05","58134425834800000","Female",29,"[25 - 30)",1,"Household head",1,"Separated/divorced","Kikuyu",3,0
"KELDL05","58134436461300000","Female",7,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kikuyu",,
"KELDL09","58134425506600000","Female",26,"[25 - 30)",1,"Husband or wife",0,"Married/living together","Luhya",,
"KELDL09","58134425396600000","Male",52,"[50 - 55)",1,"Household head",1,"Married/living together","Luhya",0,7
"KELDL10","58134381514300000","Male",24,"[20 - 25)",1,"Household head",1,"Married/living together","Kikuyu",2,0
"KELDL10","58134381826000000","Male",4,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kikuyu",,
"KELDL10","58134381695100000","Female",20,"[20 - 25)",1,"Husband or wife",0,"Married/living together","Kikuyu",2,0
"KELDL10","58134381936700000","Female",0,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kikuyu",,
"KELDL13","58134382551600000","Female",8,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kikuyu",,
"KELDL13","58134382700600000","Female",20,"[20 - 25)",1,,0,"Never married/lived together","Kikuyu",,
"KELDL13","58136007096400000","Male",37,"[35 - 40)",1,"Husband or wife",0,"Married/living together","Kikuyu",1,0
"KELDL13","58134382346100000","Female",35,"[35 - 40)",1,"Household head",1,"Married/living together","Kikuyu",1,0
"KELDL15","58134458351300000","Male",19,"[15 - 20)",1,"Brother or sister in law",0,"Never married/lived together","Kikuyu",,
"KELDL15","58134458246400000","Female",17,"[15 - 20)",1,"Brother or sister in law",0,"Never married/lived together","Kikuyu",,
"KELDL15","58134458523200000","Female",13,"[10 - 15)",0,"Brother or sister in law",0,"Never married/lived together","Kikuyu",,
"KELDL15","58134458005600000","Male",36,"[35 - 40)",1,"Household head",1,"Married/living together","Luhya",2,1
"KELDL15","58134458139200000","Female",26,"[25 - 30)",1,"Husband or wife",0,"Married/living together","Kikuyu",1,1
"KELDL15","58134461931900000","Male",7,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Luhya",,
"KELDL15","58134458424900000","Female",15,"[15 - 20)",1,"Brother or sister in law",0,"Never married/lived together","Kikuyu",,
"KELDL15","50136860192300000","Male",0,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Luhya",,0
"KELDS01","58134441503200000","Male",28,"[25 - 30)",1,,0,"Separated/divorced","Kalenjin",,
"KELDS01","58134441196400000","Female",49,"[45 - 50)",1,"Household head",1,"Never married/lived together","Kalenjin",2,2
"KELDS01","108136868079500000","Female",20,"[20 - 25)",1,"Son or daughter",0,"Separated/divorced","Kalenjin",0,0
"KELDS01","58134441567700000","Male",13,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDS01","108136868146400000","Male",2,"[0 - 5)",0,"Grandchild",0,"Never married/lived together","Kalenjin",,
"KELDS01","108137000113800000","Male",10,"[10 - 15)",0,"Friend or neighbor",0,"Never married/lived together","Kalenjin",,
"KELDS02","58134389960000000","Male",18,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Luhya",,
"KELDS02","58134397858000000","Male",9,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDS02","58134390138500000","Male",14,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Luhya",,
"KELDS02","58134390041200000","Male",16,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Luhya",,
"KELDS02","58134389681800000","Male",49,"[45 - 50)",1,"Household head",1,"Widowed","Luhya",6,1
"KELDS02","58134389868000000","Male",21,"[20 - 25)",1,"Son or daughter",0,"Never married/lived together","Luhya",,
"KELDS02","58134397778000000","Male",12,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Luhya",,
"KELDS03","50136902584500000","Female",3,"[0 - 5)",0,"Grandchild",0,"Never married/lived together","Kalenjin",,0
"KELDS03","50136887191900000","Female",21,"[20 - 25)",1,"Son or daughter",0,"Never married/lived together","Kalenjin",0,0
"KELDS03","58134376713400000","Male",10,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDS03","58134364412400000","Female",49,"[45 - 50)",1,"Husband or wife",0,"Married/living together","Kalenjin",3,4
"KELDS03","58134376789800000","Female",6,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDS03","58134364537300000","Male",29,"[25 - 30)",1,"Son or daughter",0,"Never married/lived together","Kalenjin",0,0
"KELDS03","50136887042200000","Female",10,"[10 - 15)",0,"Grandchild",0,"Never married/lived together","Kalenjin",,0
"KELDS03","58134364145800000","Male",55,"[55 - 60)",1,"Household head",1,"Married/living together","Kalenjin",3,4
"KELDS03","58134375961000000","Male",24,"[20 - 25)",1,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDS05","58134364974400000","Female",49,"[45 - 50)",1,"Husband or wife",0,"Married/living together","Luhya",1,4
"KELDS05","58134365374400000","Female",3,"[0 - 5)",0,"Grandchild",0,"Never married/lived together","Luhya",,
"KELDS05","58134365094600000","Female",29,"[25 - 30)",1,"Son or daughter",0,"Separated/divorced","Luhya",4,0
"KELDS05","50136878907900000","Female",24,"[20 - 25)",1,"Son or daughter",0,"Never married/lived together","Luhya",,0
"KELDS05","58135341729000000","Female",0,"[0 - 5)",0,"Grandchild",0,"Never married/lived together","Luhya",,
"KELDS05","58134365348300000","Male",6,"[5 - 10)",0,"Grandchild",0,"Never married/lived together","Luhya",,
"KELDS05","58134365434500000","Male",6,"[5 - 10)",0,"Grandchild",0,"Never married/lived together","Luhya",,
"KELDS05","58134365402200000","Male",1,"[0 - 5)",0,"Grandchild",0,"Never married/lived together","Luhya",,
"KELDS05","58134365288000000","Female",10,"[10 - 15)",0,"Grandchild",0,"Never married/lived together","Luhya",,
"KELDS05","58134364754000000","Male",59,"[55 - 60)",1,"Household head",1,"Married/living together","Luhya",1,4
"KELDS05","58135341695900000","Female",23,"[20 - 25)",1,"Son or daughter in law",0,"Never married/lived together","Luhya",,
"KELDS06","108136907329600000","Male",1,"[0 - 5)",0,"Grandchild",0,"Never married/lived together","Kalenjin",,
"KELDS06","58134397126200000","Male",12,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDS06","58134390845600000","Male",26,"[25 - 30)",1,"Son or daughter",0,"Separated/divorced","Kalenjin",0,0
"KELDS06","58134397200000000","Male",10,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDS06","58134390594300000","Female",29,"[25 - 30)",1,"Son or daughter",0,"Married/living together","Kalenjin",2,0
"KELDS06","108136904978700000","Female",22,"[20 - 25)",1,"Son or daughter in law",0,"Married/living together","Kalenjin",1,0
"KELDS06","58134390510800000","Female",49,"[45 - 50)",1,"Husband or wife",0,"Married/living together","Kalenjin",9,0
"KELDS06","58134396736300000","Male",24,"[20 - 25)",1,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDS06","58134396852300000","Female",23,"[20 - 25)",1,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDS06","58134397370200000","Male",7,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDS06","58134396986800000","Male",16,"[15 - 20)",1,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDS06","58134390339800000","Male",66,"[65+]",0,"Household head",1,"Married/living together","Kalenjin",9,5
"KELDS06","58134396918800000","Female",21,"[20 - 25)",1,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDS06","58134397613800000","Female",3,"[0 - 5)",0,"Grandchild",0,"Never married/lived together","Kalenjin",,
"KELDS06","58134397464900000","Female",10,"[10 - 15)",0,"Grandchild",0,"Never married/lived together","Kalenjin",,
"KELDS07","58134399852000000","Female",37,"[35 - 40)",1,"Household head",1,"Never married/lived together","Luo",3,1
"KELDS07","58134401806900000","Male",10,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Luo",,
"KELDS07","58134402068100000","Male",0,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Luo",,
"KELDS07","58134401969100000","Female",1,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Luo",,
"KELDS09","108137146610100000","Male",13,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,0
"KELDS09","58134408426400000","Male",1,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDS09","58134408186100000","Female",31,"[30 - 35)",1,"Household head",1,"Separated/divorced","Kalenjin",2,1
"KELDS09","58134408335700000","Female",9,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDS10","58134402196900000","Male",14,"[10 - 15)",0,"Grandchild",0,"Never married/lived together","Kikuyu",,
"KELDS10","58134402315200000","Male",13,"[10 - 15)",0,"Grandchild",0,"Never married/lived together","Kikuyu",,
"KELDS10","58134402450300000","Female",9,"[5 - 10)",0,"Grandchild",0,"Never married/lived together","Kikuyu",,
"KELDS10","58134399523200000","Female",79,"[65+]",0,"Household head",1,"Widowed","Kikuyu",1,6
"KELDS11","108136886324700000","Female",6,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Luhya",0,0
"KELDS11","58134407086100000","Female",23,"[20 - 25)",1,"Household head",1,"Separated/divorced","Luhya",0,1
"KELDS12","58134434450500000","Female",26,"[25 - 30)",1,"Household head",1,"Separated/divorced","Kalenjin",2,0
"KELDS12","58134439993700000","Male",4,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kikuyu",,
"KELDS12","58134439981000000","Male",7,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kikuyu",,
"KELDS14","58134372720800000","Female",38,"[35 - 40)",1,"Household head",1,"Widowed","Kalenjin",0,0
"KELDS15","58134367843500000","Male",10,"[10 - 15)",0,"Foster or adopted child",0,"Never married/lived together","Kalenjin",,
"KELDS15","58134363374100000","Male",43,"[40 - 45)",1,"Household head",1,"Married/living together","Kalenjin",4,1
"KELDS15","58134363999700000","Female",6,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDS15","58134363781800000","Female",33,"[30 - 35)",1,"Husband or wife",0,"Married/living together","Kalenjin",4,1
"KELDS15","58134363934000000","Male",8,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDS15","58134367653800000","Male",3,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDS15","58134367746600000","Female",0,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDS16","58134437258500000","Male",1,"[0 - 5)",0,"Son or daughter",0,"Never married/lived together","Kikuyu",,
"KELDS16","58134437099700000","Male",12,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kikuyu",,
"KELDS16","58134437196300000","Female",8,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kikuyu",,
"KELDS16","58134436874000000","Female",30,"[30 - 35)",1,"Household head",1,"Widowed","Luhya",4,0
"KELDS16","58134437001800000","Male",8,"[5 - 10)",0,"Son or daughter",0,"Never married/lived together","Kikuyu",,
"KELDS17","58134439655500000","Female",13,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
"KELDS17","58134439772300000","Female",11,"[10 - 15)",0,"Son or daughter",0,"Never married/lived together","Kalenjin",,
