hh_ids,hh_int_situation,hh_circ_move_why,hh_circ_move_when,hh_circ_problems,hh_inf_wall_material,hh_inf_roof_material,hh_inf_floor_material,hh_inf_cookfuel_source,hh_inf_lighting_source,hh_inf_water_source,hh_inf_rooms_habitable,hh_inf_rooms_other,hh_inf_toilet_type,hh_inf_toilet_shared,hh_inf_housing_type,hh_inf_electricity_access,hh_inf_interiorcond,hh_inf_exteriorcond,hh_asset_internet_access,hh_asset_iron_any,hh_asset_mosqnets_N,hh_asset_towels_N,hh_asset_fryingpan_N,hh_env_settingdesc,hh_env_desc,hh_env_dilapbuildings,hh_env_streets,hh_env_trash,hh_ownership_type,hh_ownership_plotacquisition,hh_ownership_houseacquisition,hh_ownership_docu,hh_otherprop_any,hh_otherprop_N,hh_otherprop1_docu,hh_otherprop1_use,hh_otherprop1_value,hh_otherprop2_use,hh_otherprop2_value,hh_otherprop2_docu,hh_otherprop3_docu,hh_otherprop3_use,hh_otherprop3_value,hh_othershamba_N,hh_othershamba1_docu,hh_othershamba1_use,hh_othershamba1_value,hh_othershamba2_docu,hh_othershamba2_use,hh_othershamba2_value,hh_othershamba3_docu,hh_othershamba3_use,hh_othershamba3_value
"KNBOK16","01=Initial questionnaire","14=Wanted lower rent or mortgage",11/1/2008,"01=Leaky roof or ceilling,02=Lack of doors or inability to lock house,04=Pests: mice, rats, roaches, bedbugs, other insects,08=Mold","Stone","Concrete","Cement/Concrete/Slab","Paraffin","Electricity","Piped somewhere else (outside, neighbor)",1,0,"Pit latrine, uncovered","Shared","Flat","Yes, from neighbor or unofficial soure","No major problems","No major problems","Cyber cafe","No",0,1,0,"Urban","03=Single family attached houses","02=Most of them","01=Open sewage","02=Major accumulation",4,,,,"Yes",1,"01=No written agreement","01=Personal use",100000,"",,"","","",,,"","",,"","",,"","",
"KNBOK17","01=Initial questionnaire","",7/12/2010,"04=Pests: mice, rats, roaches, bedbugs, other insects,08=Mold","Stone","Concrete","Cement/Concrete/Slab","Eats at establishment","Electricity","Piped somewhere else (outside, neighbor)",2,1,"Main sewer","Shared","House/bungalow",,"No major problems","No major problems","Does not access internet","No",1,1,0,"Urban","04=Mult- unit residential buildings (flats)","98=None","03=Garbage","01=Minor accumulation",3,,,,"Yes",1,"01=No written agreement","05=Currently unused",70000,"",,"","","",,,"","",,"","",,"","",
"KNBOK18","01=Initial questionnaire","02=Marriage",8/1/2006,"04=Pests: mice, rats, roaches, bedbugs, other insects","Stone","Corrugated iron, mabati","Cement/Concrete/Slab","Gas/LPG","Electricity","Piped into dwelling",3,1,"Septic tank","Private","Flat",,"No major problems","No major problems","Does not access internet","Yes",5,5,1,"Urban","04=Mult- unit residential buildings (flats)","01=A few of them","03=Garbage","01=Minor accumulation",4,,,,"Yes",5,"03=Yes, a title deed","05=Currently unused",100000,"05=Currently unused",100000,"03=Yes, a title deed","03=Yes, a title deed","05=Currently unused",100000,2,"02=Yes, a written agreement, but not a title deed","05=Currently unused",160000,"02=Yes, a written agreement, but not a title deed","05=Currently unused",160000,"","",
"KNBOK19","01=Initial questionnaire","17=Private displacement (owner moved into unit, unit sold)",12/1/2010,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects,07=Extremely hot or cold","Stone","Corrugated iron, mabati","Cement/Concrete/Slab","Gas/LPG","Electricity","Piped somewhere else (outside, neighbor)",2,1,"Main sewer","Shared","House/bungalow",,"No major problems","No major problems","Does not access internet","Yes",2,4,1,"Urban","04=Mult- unit residential buildings (flats)","01=A few of them","03=Garbage","01=Minor accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOK20","01=Initial questionnaire","13=Change from renter to owner",12/1/2003,"01=Leaky roof or ceilling,02=Lack of doors or inability to lock house,04=Pests: mice, rats, roaches, bedbugs, other insects","Stone","Corrugated iron, mabati","Cement/Concrete/Slab","Charcoal","Electricity","Water vendor",4,4,"Main sewer","Private","Maisonette/townhouse","Yes, own electricity","No major problems","No major problems","Cyber cafe","Yes",3,3,0,"Urban","05=Commercial or institutional property","01=A few of them","01=Open sewage","02=Major accumulation",2,"Bought plot using credit/loan from bank, SACCO, or MFI","Built using credit/loan from bank, SACCO, or MFI","Yes, a written agreement, but not a title deed","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOK22","01=Initial questionnaire","19=Disaster or conflict (fire, flood, electoral violence)",3/1/2010,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/cement","Corrugated iron, mabati","Cement/Concrete/Slab","Paraffin","Electricity","Piped somewhere else (outside, neighbor)",1,0,"Pit latrine, uncovered","Shared","Shack","Yes, from neighbor or unofficial soure","No major problems","Some peeling paint, cracks in walls, rusted iron sheets",,"No",3,4,1,"Urban","03=Single family attached houses","01=A few of them","01=Open sewage","02=Major accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOK23","02=Move during diaries","17=Private displacement (owner moved into unit, unit sold)",3/25/2013,"04=Pests: mice, rats, roaches, bedbugs, other insects,07=Extremely hot or cold","Corrugated Iron Sheet","Tiles","Wood","Paraffin","Electricity","Water vendor",5,2,"Pit latrine, uncovered","Shared","Shack","Yes, from neighbor or unofficial soure","No major problems",,"Own mobile phone","Yes",1,1,0,"Urban","03=Single family attached houses","02=Most of them","None","98=None",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOK25","01=Initial questionnaire","12=Wanted better neighborhood,14=Wanted lower rent or mortgage",10/1/2009,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects,06=Insecure or crumbling walls,07=Extremely hot or cold","Mud/cement","Corrugated iron, mabati","Cement/Concrete/Slab","Paraffin","Electricity","Water vendor",1,0,"Pit latrine, uncovered","Shared","Shack","Yes, from neighbor or unofficial soure","Needs substantial painting, refilling, repair","Needs substantial painting, refilling, repair","Does not access internet","No",0,0,0,"Urban","03=Single family attached houses","02=Most of them","01=Open sewage","02=Major accumulation",4,,,,"Yes",1,"01=No written agreement","01=Personal use",50000,"",,"","","",,,"","",,"","",,"","",
"KNBOK26","","",,"02=Lack of doors or inability to lock house,04=Pests: mice, rats, roaches, bedbugs, other insects,07=Extremely hot or cold,08=Mold","Corrugated Iron Sheet","Corrugated iron, mabati","Cement/Concrete/Slab","Paraffin","Candles","Water vendor",1,0,"Main sewer","Shared",,"No access",,,"Own mobile phone","No",0,1,1,"Urban","","","","",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOK27","01=Initial questionnaire","19=Disaster or conflict (fire, flood, electoral violence)",10/1/2008,"04=Pests: mice, rats, roaches, bedbugs, other insects,07=Extremely hot or cold","Corrugated Iron Sheet","Corrugated iron, mabati","Cement/Concrete/Slab","Paraffin","Electricity","Piped somewhere else (outside, neighbor)",1,1,"Pit latrine, uncovered","Shared","Other temporary or semi-permanent structure","Yes, from neighbor or unofficial soure","No major problems","No major problems","Does not access internet","No",0,1,0,"Urban","03=Single family attached houses","01=A few of them","02=Crowded streets and paths","01=Minor accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOK29","01=Initial questionnaire","12=Wanted better neighborhood",6/1/2001,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects,07=Extremely hot or cold,08=Mold","Stone","Corrugated iron, mabati","Cement/Concrete/Slab","Paraffin","Candles","Water vendor",1,0,"Pit latrine, uncovered","Shared","Other temporary or semi-permanent structure","No access","No major problems","No major problems","Does not access internet","Yes",1,1,0,"Urban","03=Single family attached houses","02=Most of them","01=Open sewage","01=Minor accumulation",4,,,,"Yes",1,"01=No written agreement","01=Personal use",300000,"",,"","","",,,"","",,"","",,"","",
"KNBOM02","01=Initial questionnaire","12=Wanted better neighborhood",11/28/2011,"04=Pests: mice, rats, roaches, bedbugs, other insects","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Gas/LPG","Electricity","Water vendor",1,0,"Main sewer","Shared","House/bungalow","Yes, from neighbor or unofficial soure","Needs substantial painting, refilling, repair","No major problems","Does not access internet","No",0,2,0,"Urban","03=Single family attached houses","01=A few of them","02=Crowded streets and paths","01=Minor accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOM03","01=Initial questionnaire","17=Private displacement (owner moved into unit, unit sold)",1/1/2004,"04=Pests: mice, rats, roaches, bedbugs, other insects","Brick/block","Concrete","Cement/Concrete/Slab","Charcoal","Paraffin","Piped into dwelling",1,0,"Main sewer","Shared","Flat","Yes, own electricity","No major problems","No major problems","Does not access internet","No",1,3,0,"Urban","04=Mult- unit residential buildings (flats)","01=A few of them","03=Garbage","02=Major accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOM04","01=Initial questionnaire","17=Private displacement (owner moved into unit, unit sold)",8/1/2011,"04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/cement","Corrugated iron, mabati","Earth/Cowdung","Gas/LPG","Electricity","Water vendor",1,0,"Main sewer","Shared","House/bungalow","Yes, from neighbor or unofficial soure","No major problems","Dilapidated","Does not access internet","Yes",2,3,0,"Urban","03=Single family attached houses","02=Most of them","01=Open sewage","02=Major accumulation",4,,,,"Yes",1,"01=No written agreement","04=Agricultural property",300000,"",,"","","",,,"","",,"","",,"","",
"KNBOM11","01=Initial questionnaire","12=Wanted better neighborhood",10/1/2008,"09=None","Corrugated Iron Sheet","Corrugated iron, mabati","Cement/Concrete/Slab","Gas/LPG","Paraffin","Piped somewhere else (outside, neighbor)",1,0,"Main sewer","Shared","House/bungalow","No access","No major problems","No major problems","Does not access internet","No",2,3,1,"Urban","06=Busy road or highway","01=A few of them","Noise from a nearby school","01=Minor accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOM13","01=Initial questionnaire","08=Seeking better business opportunities",12/1/2005,"04=Pests: mice, rats, roaches, bedbugs, other insects,05=Floods with rain or sewage","Corrugated Iron Sheet","Corrugated iron, mabati","Cement/Concrete/Slab","Paraffin","Electricity","Water vendor",1,0,"Main sewer","Shared","House/bungalow","Yes, from neighbor or unofficial soure","No major problems","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","Yes",0,2,0,"Urban","03=Single family attached houses","02=Most of them","Gabbage and open sewer","01=Minor accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOM14","01=Initial questionnaire","09=Other employment related reason",10/1/2004,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects","Corrugated Iron Sheet","Corrugated iron, mabati","Earth/Cowdung","Charcoal","Paraffin","Water vendor",1,0,"Pit latrine, uncovered","Shared","House/bungalow","No access","Dilapidated","Dilapidated","Cyber cafe","No",0,0,0,"Urban","03=Single family attached houses","02=Most of them","01=Open sewage","01=Minor accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOM16","01=Initial questionnaire","03=Started own household",5/5/2011,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects,07=Extremely hot or cold","Corrugated Iron Sheet","Corrugated iron, mabati","Cement/Concrete/Slab","Gas/LPG","Paraffin","Piped somewhere else (outside, neighbor)",1,1,"Main sewer","Shared","Shack","No access","Needs substantial painting, refilling, repair","Dilapidated","Does not access internet","No",0,0,1,"Urban","02=Single family detached houses","02=Most of them","03=Garbage","01=Minor accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOM19","01=Initial questionnaire","09=Other employment related reason",1/1/1997,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects,05=Floods with rain or sewage","Corrugated Iron Sheet","Corrugated iron, mabati","Cement/Concrete/Slab","Gas/LPG","Electricity","Water vendor",1,0,"Main sewer","Shared","House/bungalow","Yes, from neighbor or unofficial soure","Some peeling paint, cracks in walls, rusted iron sheets","No major problems","Does not access internet","No",0,0,0,"Urban","03=Single family attached houses","01=A few of them","01=Open sewage","01=Minor accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOM22","01=Initial questionnaire","12=Wanted better neighborhood",1/1/1994,"01=Leaky roof or ceilling,02=Lack of doors or inability to lock house,04=Pests: mice, rats, roaches, bedbugs, other insects,05=Floods with rain or sewage","Corrugated Iron Sheet","Corrugated iron, mabati","Cement/Concrete/Slab","Gas/LPG","Electricity","Water vendor",2,0,"Main sewer","Shared","House/bungalow","Yes, from neighbor or unofficial soure","Dilapidated","Needs substantial painting, refilling, repair","Cyber cafe","No",0,0,0,"Urban","03=Single family attached houses","02=Most of them","01=Open sewage","01=Minor accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KNBOM25","01=Initial questionnaire","02=Marriage",1/1/1980,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects","Corrugated Iron Sheet","Corrugated iron, mabati","Earth/Cowdung","Gas/LPG","Electricity","Water vendor",1,0,"Main sewer","Shared","House/bungalow","Yes, own electricity",,,"Does not access internet","No",0,0,0,"Urban","","","","",4,,,,"Yes",1,"01=No written agreement","05=Currently unused",2000000,"",,"","","",,,"","",,"","",,"","",
"KNBOM26","02=Move during diaries","14=Wanted lower rent or mortgage",11/22/2012,"04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/wood","Concrete","Earth/Cowdung","Gas/LPG","Electricity","Water vendor",1,1,"Main sewer","Shared","Flat","Yes, from neighbor or unofficial soure","Dilapidated","Dilapidated","Does not access internet","No",0,2,1,"Urban","03=Single family attached houses","02=Most of them","03=Garbage","01=Minor accumulation",4,,,,"Yes",1,"02=Yes, a written agreement, but not a title deed","",,"",,"","","",,,"","",,"","",,"","",
"KELDL01","01=Initial questionnaire","12=Wanted better neighborhood",6/1/2011,"09=None","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Gas/LPG","Electricity","Piped somewhere else (outside, neighbor)",1,1,"Pit latrine, covered","Shared","Flat","Yes, own electricity","No major problems","No major problems","Own mobile phone","Yes",1,3,1,"Urban","04=Mult- unit residential buildings (flats)","02=Most of them","01=Open sewage","01=Minor accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KELDL02","01=Initial questionnaire","12=Wanted better neighborhood",9/1/2011,"09=None","Brick/block","Corrugated iron, mabati","Cement/Concrete/Slab","Charcoal","Electricity","Piped somewhere else (outside, neighbor)",2,2,"Pit latrine, covered","Shared","House/bungalow","Yes, own electricity","No major problems","No major problems","Does not access internet","Yes",3,2,1,"Urban","04=Mult- unit residential buildings (flats)","98=None","Very muddy","98=None",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KELDL05","01=Initial questionnaire","14=Wanted lower rent or mortgage",4/1/2012,"01=Leaky roof or ceilling","Mud/wood","Corrugated iron, mabati","Earth/Cowdung","Charcoal","Paraffin","Protected well",1,1,"Pit latrine, covered","Shared","Other temporary or semi-permanent structure","No access","Some peeling paint, cracks in walls, rusted iron sheets","Needs substantial painting, refilling, repair","Does not access internet","Yes",2,3,1,"Urban","04=Mult- unit residential buildings (flats)","02=Most of them","02=Crowded streets and paths","01=Minor accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KELDL09","01=Initial questionnaire","12=Wanted better neighborhood",9/1/2011,"09=None","Mud/wood","Corrugated iron, mabati","Earth/Cowdung","Charcoal","Paraffin","Protected well",1,1,"Pit latrine, covered","Shared","Other temporary or semi-permanent structure","No access","No major problems","No major problems","Does not access internet","No",1,1,1,"Urban","muilti unit mud walled rental houses","01=A few of them","02=Crowded streets and paths","01=Minor accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KELDL10","01=Initial questionnaire","08=Seeking better business opportunities",4/1/2007,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/wood","Corrugated iron, mabati","Earth/Cowdung","Charcoal","Paraffin","Protected well",1,1,"Pit latrine, covered","Shared","Other temporary or semi-permanent structure","No access","No major problems","No major problems","Does not access internet","No",2,1,0,"Urban","Multi unit mudwalled rental plots","01=A few of them","01=Open sewage","01=Minor accumulation",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KELDS01","01=Initial questionnaire","01=No move",1/1/1996,"03=Broken or missing windows,07=Extremely hot or cold","Mud/cement","Corrugated iron, mabati","Earth/Cowdung","Collected firewood","Paraffin","Stream/River",4,3,"Pit latrine, covered","Private","Other temporary or semi-permanent structure","No access","Some peeling paint, cracks in walls, rusted iron sheets","No major problems","Does not access internet","No",3,0,0,"Rural","02=Single family detached houses","01=A few of them","02=Crowded streets and paths","98=None",1,"Inherited","Inherited","Yes, a written agreement, but not a title deed","Yes",,"02=Yes, a written agreement, but not a title deed","03=Rental or commercial",100000,"",,"","","",,,"","",,"","",,"","",
"KELDS02","01=Initial questionnaire","12=Wanted better neighborhood",4/2/2004,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/wood","Corrugated iron, mabati","Earth/Cowdung","Collected firewood","Paraffin","Protected well",2,2,"Pit latrine, covered","Private","Other temporary or semi-permanent structure","No access","Dilapidated","Dilapidated","Does not access internet","Yes",0,0,0,"Rural","03=Single family attached houses","98=None","none","98=None",1,"Bought plot using assets/savings kept elsewhere","Used local materials","Yes, a title deed","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KELDS03","01=Initial questionnaire","12=Wanted better neighborhood",12/27/1999,"03=Broken or missing windows,04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/cement","Corrugated iron, mabati","Earth/Cowdung","Collected firewood","Paraffin","Protected well",4,2,"Pit latrine, covered","Private","Other temporary or semi-permanent structure","No access","No major problems","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","No",4,2,1,"Rural","02=Single family detached houses","98=None","none","98=None",1,"Bought plot using assets/savings kept elsewhere","Built using assets/savings kept elsewhere","Yes, a title deed","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KELDS05","02=Move during diaries","12=Wanted better neighborhood",10/12/2012,"09=None","Mud/cement","Corrugated iron, mabati","Earth/Cowdung","Collected firewood","Paraffin","Protected well",4,4,"Pit latrine, covered","Private","Other temporary or semi-permanent structure","No access","No major problems","No major problems","Does not access internet","Yes",4,3,1,"Rural","02=Single family detached houses","98=None","none","98=None",1,"Bought plot using assets/savings kept elsewhere","Built using assets/savings kept elsewhere","Yes, a title deed","Yes",,"","",,"",,"","","",,1,"02=Yes, a written agreement, but not a title deed","04=Agricultural property",70000,"","",,"","",
"KELDS06","01=Initial questionnaire","12=Wanted better neighborhood",1/1/2000,"09=None","Mud/wood","Corrugated iron, mabati","Earth/Cowdung","Collected firewood","Paraffin","Unprotected well",4,3,"Pit latrine, covered","Private","Other temporary or semi-permanent structure","No access",,,"Does not access internet","Yes",6,0,1,"Rural","","","","",1,"Bought plot using assets/savings kept elsewhere","Built using assets/savings kept elsewhere","Yes, a title deed","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KELDS07","01=Initial questionnaire","18=Evicted/foreclosed upon",8/1/2010,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/wood","Corrugated iron, mabati","Earth/Cowdung","Charcoal","Paraffin","Protected well",1,1,"Pit latrine, covered","Shared","Other temporary or semi-permanent structure","No access","No major problems","Dilapidated","Does not access internet","No",1,0,0,"Rural","05=Commercial or institutional property","01=A few of them","none","98=None",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KELDS09","01=Initial questionnaire","12=Wanted better neighborhood",2/10/2012,"01=Leaky roof or ceilling,04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/wood","Corrugated iron, mabati","Earth/Cowdung","Charcoal","Paraffin","Protected well",1,1,"Pit latrine, covered","Shared","Other temporary or semi-permanent structure","No access","No major problems","Some peeling paint, cracks in walls, rusted iron sheets","Does not access internet","No",2,1,0,"Rural","multi unit mudwaled rental houses","02=Most of them","none","98=None",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KELDS10","01=Initial questionnaire","13=Change from renter to owner",1/1/1980,"04=Pests: mice, rats, roaches, bedbugs, other insects","Mud/wood","Corrugated iron, mabati","Earth/Cowdung","Charcoal","Paraffin","Protected well",3,2,"Pit latrine, covered","Shared","Other temporary or semi-permanent structure","No access","No major problems","No major problems","Does not access internet","No",1,0,0,"Rural","03=Single family attached houses","02=Most of them","Very muddy","98=None",1,"Bought plot using assets/savings kept elsewhere","Built using assets/savings kept elsewhere","Yes, a title deed","No",,"","",,"",,"","","",,,"","",,"","",,"","",
"KELDS11","01=Initial questionnaire","04=Widowed, divorced, or separated",8/26/2010,"09=None","Stone","Corrugated iron, mabati","Cement/Concrete/Slab","Charcoal","Paraffin","Piped somewhere else (outside, neighbor)",1,1,"Pit latrine, covered","Shared","Other temporary or semi-permanent structure","No access","No major problems","No major problems","Does not access internet","No",1,1,1,"Rural","multi rental mud walled houses","02=Most of them","02=Crowded streets and paths","98=None",4,,,,"No",,"","",,"",,"","","",,,"","",,"","",,"","",
