hh_ids,m_ids,int_date,wellbeing_q1,wellbeing_q2,wellbeing_q3,wellbeing_q4
"KNBOK35","5.01000e+16",01sep2013,"Neither happy nor unhappy","Very badly","Moderately well","Very confident"
"KNBOK35","5.01000e+16",20sep2013,"Neither happy nor unhappy","Neither well nor badly","Moderately well","Moderately confident"
"KELDK18","5.61000e+16",18oct2012,"Neither happy nor unhappy","Neither well nor badly","Moderately well","Moderately confident"
"KELDK18","5.61000e+16",08nov2012,"Moderately happy","Neither well nor badly","Moderately well","Very confident"
"KELDK18","5.61000e+16",29nov2012,"Neither happy nor unhappy","Moderately well","Very well","Very confident"
"KELDK18","5.61000e+16",10jan2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK18","5.61000e+16",31jan2013,"Moderately happy","Moderately well","Moderately well","Moderately confident"
"KELDK18","5.61000e+16",12apr2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK18","5.61000e+16",24apr2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK18","5.61000e+16",10may2013,"Very happy","Neither well nor badly","Very well","Very confident"
"KELDK18","5.61000e+16",28may2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK18","5.61000e+16",18jun2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK18","5.61000e+16",02jul2013,"Very happy","Very well","Very well","Very confident"
"KELDK18","5.61000e+16",16jul2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK18","5.61000e+16",08aug2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK18","5.61000e+16",27aug2013,"Very happy","Neither well nor badly","Very well","Very confident"
"KELDK18","5.61000e+16",12sep2013,"Moderately happy","Very badly","Very well","Very confident"
"KELDK18","5.61000e+16",18oct2012,"Moderately happy","Neither well nor badly","Very well","Moderately confident"
"KELDK18","5.61000e+16",08nov2012,"Moderately happy","Neither well nor badly","Neither well nor badly","Moderately confident"
"KELDK18","5.61000e+16",29nov2012,"Moderately happy","Neither well nor badly","Very well","Very confident"
"KELDK18","5.61000e+16",16jul2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK18","5.61000e+16",18oct2012,"Moderately happy","Neither well nor badly","Very well","Moderately confident"
"KELDK17","5.61000e+16",18oct2012,"Neither happy nor unhappy","Neither well nor badly","Neither well nor badly","Moderately unconfident"
"KELDK17","5.61000e+16",08nov2012,"Moderately happy","Very well","Neither well nor badly","Moderately confident"
"KELDK17","5.61000e+16",29nov2012,"Neither happy nor unhappy","Moderately badly","Moderately well","Neither confident nor unconfident"
"KELDK17","5.61000e+16",10jan2013,"Moderately happy","Moderately badly","Very well","Very confident"
"KELDK17","5.61000e+16",31jan2013,"Moderately happy","Very badly","Moderately well","Moderately confident"
"KELDK17","5.61000e+16",05apr2013,"Moderately happy","Neither well nor badly","Very well","Very confident"
"KELDK17","5.61000e+16",17apr2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK17","5.61000e+16",01may2013,"Moderately happy","Moderately badly","Very well","Very confident"
"KELDK17","5.61000e+16",16may2013,"Moderately happy","Moderately badly","Very well","Very confident"
"KELDK17","5.61000e+16",29may2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK17","5.61000e+16",12jun2013,"Neither happy nor unhappy","Moderately well","Very well","Very confident"
"KELDK17","5.61000e+16",26jun2013,"Neither happy nor unhappy","Moderately well","Very well","Very confident"
"KELDK17","5.61000e+16",15jul2013,"Neither happy nor unhappy","Moderately well","Very well","Very confident"
"KELDK17","5.61000e+16",02aug2013,"Neither happy nor unhappy","Moderately well","Very well","Very confident"
"KELDK17","5.61000e+16",16aug2013,"Very happy","Neither well nor badly","Very well","Very confident"
"KELDK17","5.61000e+16",30aug2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK17","5.61000e+16",17sep2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK17","5.61000e+16",01oct2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK09","5.61000e+16",19oct2012,"Very happy","Moderately well","Very well","Moderately confident"
"KELDK09","5.61000e+16",09nov2012,"Neither happy nor unhappy","Neither well nor badly","Moderately well","Very confident"
"KELDK09","5.61000e+16",30nov2012,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK09","5.61000e+16",11jan2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK09","5.61000e+16",01feb2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK09","5.61000e+16",04apr2013,"Moderately happy","Neither well nor badly","Very well","Moderately confident"
"KELDK09","5.61000e+16",17apr2013,"Very happy","Very well","Very well","Very confident"
"KELDK09","5.61000e+16",01may2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK09","5.61000e+16",15may2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK09","5.61000e+16",29may2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK09","5.61000e+16",12jun2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK09","5.61000e+16",26jun2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK09","5.61000e+16",10jul2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK09","5.61000e+16",24jul2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK09","5.61000e+16",07aug2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK09","5.61000e+16",21aug2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK09","5.61000e+16",04sep2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK09","5.61000e+16",18sep2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK09","5.61000e+16",02oct2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK10","5.61000e+16",19oct2012,"Moderately happy","Neither well nor badly","Very well","Moderately confident"
"KELDK10","5.61000e+16",09nov2012,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK10","5.61000e+16",30nov2012,"Moderately unhappy","Moderately well","Moderately well","Very confident"
"KELDK10","5.61000e+16",11jan2013,"Very happy","Very well","Very well","Very confident"
"KELDK10","5.61000e+16",01feb2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK10","5.61000e+16",06apr2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK10","5.61000e+16",17apr2013,"Very happy","Moderately well","Moderately well","Very confident"
"KELDK10","5.61000e+16",01may2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK10","5.61000e+16",15may2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK10","5.61000e+16",12jun2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK10","5.61000e+16",26jun2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK10","5.61000e+16",10jul2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK10","5.61000e+16",24jul2013,"Moderately happy","Moderately well","Moderately well","Very confident"
"KELDK10","5.61000e+16",07aug2013,"Moderately happy","Moderately well","Moderately well","Very confident"
"KELDK10","5.61000e+16",21aug2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK10","5.61000e+16",04sep2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK10","5.61000e+16",19sep2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK10","5.61000e+16",03oct2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK13","5.61000e+16",18oct2012,"Moderately unhappy","Moderately badly","Neither well nor badly","Moderately confident"
"KELDK13","5.61000e+16",08nov2012,,"Moderately badly","Very well","Moderately confident"
"KELDK13","5.61000e+16",30nov2012,"Moderately happy","Moderately badly","Moderately well","Moderately confident"
"KELDK13","5.61000e+16",10jan2013,"Moderately happy","Neither well nor badly","Very well","Very confident"
"KELDK13","5.61000e+16",31jan2013,"Moderately happy","Moderately badly","Neither well nor badly","Neither confident nor unconfident"
"KELDK13","5.61000e+16",05apr2013,"Moderately happy","Moderately well","Moderately well","Very confident"
"KELDK13","5.61000e+16",18apr2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK13","5.61000e+16",07may2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK13","5.61000e+16",22may2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK13","5.61000e+16",05jun2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK13","5.61000e+16",18jul2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK13","5.61000e+16",06aug2013,"Neither happy nor unhappy","Moderately well","Very well","Very confident"
"KELDK13","5.61000e+16",20aug2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK13","5.61000e+16",05sep2013,"Moderately happy","Neither well nor badly","Very well","Very confident"
"KELDK13","5.61000e+16",19sep2013,"Moderately happy","Moderately badly","Very well","Very confident"
"KELDK13","5.61000e+16",09oct2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK14","5.61000e+16",19oct2012,"Moderately happy","Neither well nor badly","Very well","Moderately confident"
"KELDK14","5.61000e+16",09nov2012,"Neither happy nor unhappy","Moderately well","Very well","Moderately confident"
"KELDK14","5.61000e+16",30nov2012,"Moderately happy","Neither well nor badly","Very well","Very confident"
"KELDK14","5.61000e+16",11jan2013,"Moderately unhappy","Moderately badly","Very well","Moderately confident"
"KELDK14","5.61000e+16",01feb2013,"Moderately happy","Moderately badly","Very well","Very confident"
"KELDK14","5.61000e+16",13apr2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK14","5.61000e+16",02may2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK14","5.61000e+16",11may2013,"Moderately happy","Very badly","Very well","Very confident"
"KELDK14","5.61000e+16",25may2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK14","5.61000e+16",08jun2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK14","5.61000e+16",21jun2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK14","5.61000e+16",20jul2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK14","5.61000e+16",22aug2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK14","5.61000e+16",23sep2013,"Very happy","Neither well nor badly","Very well","Very confident"
"KELDK22","5.61000e+16",20oct2012,"Moderately happy","Moderately badly","Moderately well","Moderately confident"
"KELDK22","5.61000e+16",10nov2012,"Neither happy nor unhappy","Neither well nor badly","Moderately well","Moderately confident"
"KELDK22","5.61000e+16",01dec2012,"Moderately happy","Very badly","Moderately well","Moderately confident"
"KELDK22","5.61000e+16",14jan2013,"Neither happy nor unhappy","Moderately badly","Moderately well","Very confident"
"KELDK22","5.61000e+16",12apr2013,"Moderately happy","Moderately well","Moderately well","Very confident"
"KELDK22","5.61000e+16",11may2013,"Moderately happy","Moderately well","Moderately well","Very confident"
"KELDK22","5.61000e+16",25may2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK22","5.61000e+16",08jun2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK22","5.61000e+16",22jun2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK22","5.61000e+16",06jul2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK22","5.61000e+16",20jul2013,"Moderately happy","Neither well nor badly","Moderately well","Very confident"
"KELDK22","5.61000e+16",03aug2013,"Very happy","Very well","Very well","Very confident"
"KELDK22","5.61000e+16",17aug2013,"Neither happy nor unhappy","Moderately well","Moderately well","Very confident"
"KELDK22","5.61000e+16",31aug2013,"Very happy","Moderately well","Moderately well","Very confident"
"KELDK22","5.61000e+16",14sep2013,"Moderately happy","Moderately well","Moderately well","Very confident"
"KELDK22","5.61000e+16",28sep2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK29","5.61000e+16",21oct2012,"Neither happy nor unhappy","Neither well nor badly","Very well","Very confident"
"KELDK29","5.61000e+16",13nov2012,"Moderately unhappy","Moderately badly","Moderately well","Moderately confident"
"KELDK29","5.61000e+16",02dec2012,"Neither happy nor unhappy","Neither well nor badly","Moderately well","Very confident"
"KELDK29","5.61000e+16",15jan2013,"Moderately happy","Moderately badly","Very well","Very confident"
"KELDK29","5.61000e+16",12apr2013,"Very unhappy","Very badly","Very well","Very confident"
"KELDK29","5.61000e+16",26apr2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK29","5.61000e+16",11may2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK29","5.61000e+16",22jun2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK29","5.61000e+16",06jul2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK29","5.61000e+16",20jul2013,"Moderately happy","Neither well nor badly","Very well","Very confident"
"KELDK29","5.61000e+16",02aug2013,"Moderately happy","Very well","Moderately well","Very confident"
"KELDK29","5.61000e+16",21oct2012,"Moderately happy","Moderately well","Very well","Moderately confident"
"KELDK29","5.61000e+16",13nov2012,"Moderately unhappy","Neither well nor badly","Moderately well","Moderately confident"
"KELDK29","5.61000e+16",02dec2012,"Neither happy nor unhappy","Neither well nor badly","Moderately well","Moderately confident"
"KELDK29","5.61000e+16",15jan2013,"Moderately happy","Moderately badly","Moderately well","Moderately confident"
"KELDK29","5.61000e+16",12apr2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK29","5.61000e+16",26apr2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK29","5.61000e+16",11may2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK29","5.61000e+16",24may2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK29","5.61000e+16",07jun2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK29","5.61000e+16",22jun2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK29","5.61000e+16",06jul2013,"Moderately happy","Moderately well","Moderately well","Very confident"
"KELDK29","5.61000e+16",20jul2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK29","5.61000e+16",02aug2013,"Very happy","Very well","Moderately well","Very confident"
"KELDK29","5.61000e+16",17aug2013,"Moderately happy","Neither well nor badly","Very well","Very confident"
"KELDK29","5.61000e+16",31aug2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK29","5.61000e+16",14sep2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK29","5.61000e+16",08oct2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK23","5.61000e+16",21oct2012,"Neither happy nor unhappy","Moderately badly","Moderately well","Neither confident nor unconfident"
"KELDK23","5.61000e+16",11nov2012,"Neither happy nor unhappy","Moderately well","Neither well nor badly","Moderately confident"
"KELDK23","5.61000e+16",02dec2012,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK23","5.61000e+16",15jan2013,"Neither happy nor unhappy","Neither well nor badly","Very well","Very confident"
"KELDK23","5.61000e+16",09apr2013,"Moderately happy","Moderately well","Very well","Moderately confident"
"KELDK23","5.61000e+16",22apr2013,"Very happy","Moderately badly","Very well","Very confident"
"KELDK23","5.61000e+16",11may2013,"Neither happy nor unhappy","Moderately well","Very well","Very confident"
"KELDK23","5.61000e+16",24may2013,"Moderately happy","Moderately badly","Very well","Very confident"
"KELDK23","5.61000e+16",07jun2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK23","5.61000e+16",21jun2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK23","5.61000e+16",05jul2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK23","5.61000e+16",19jul2013,"Moderately happy","Moderately well","Neither well nor badly","Very confident"
"KELDK23","5.61000e+16",02aug2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK23","5.61000e+16",16aug2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK23","5.61000e+16",30aug2013,"Moderately happy","Moderately well","Moderately well","Very confident"
"KELDK23","5.61000e+16",13sep2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK23","5.61000e+16",27sep2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK27","5.61000e+16",21oct2012,"Neither happy nor unhappy","Moderately badly","Moderately well","Neither confident nor unconfident"
"KELDK27","5.61000e+16",11nov2012,"Very unhappy","Moderately badly","Moderately well","Moderately confident"
"KELDK27","5.61000e+16",02dec2012,"Moderately happy","Moderately badly","Very well","Very confident"
"KELDK27","5.61000e+16",15jan2013,"Very happy","Neither well nor badly","Very well","Very confident"
"KELDK27","5.61000e+16",07apr2013,"Very happy","Moderately well","Very well","Moderately confident"
"KELDK27","5.61000e+16",21apr2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK27","5.61000e+16",05may2013,"Moderately happy","Neither well nor badly","Very well","Very confident"
"KELDK27","5.61000e+16",16jun2013,"Moderately happy","Neither well nor badly","Very well","Very confident"
"KELDK27","5.61000e+16",30jun2013,"Moderately happy","Moderately well","Moderately well","Very confident"
"KELDK27","5.61000e+16",14jul2013,"Neither happy nor unhappy","Neither well nor badly","Moderately well","Very confident"
"KELDK27","5.61000e+16",06aug2013,"Moderately happy","Moderately well","Moderately well","Very confident"
"KELDK27","5.61000e+16",25aug2013,"Neither happy nor unhappy","Moderately well","Very well","Very confident"
"KELDK27","5.61000e+16",08sep2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK27","5.61000e+16",22sep2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK27","5.61000e+16",06oct2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK25","5.61000e+16",20oct2012,"Moderately happy","Neither well nor badly","Very well","Very confident"
"KELDK25","5.61000e+16",10nov2012,"Neither happy nor unhappy","Neither well nor badly","Very well","Very confident"
"KELDK25","5.61000e+16",01dec2012,"Moderately happy","Moderately badly","Very well","Very confident"
"KELDK25","5.61000e+16",14jan2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK25","5.61000e+16",09apr2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK25","5.61000e+16",10may2013,"Moderately unhappy","Moderately badly","Very well","Very confident"
"KELDK25","5.61000e+16",23may2013,"Moderately happy","Moderately badly","Very well","Very confident"
"KELDK25","5.61000e+16",06jun2013,"Moderately happy","Neither well nor badly","Very well","Very confident"
"KELDK25","5.61000e+16",20jun2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK25","5.61000e+16",03jul2013,"Moderately happy","Moderately well","Moderately well","Very confident"
"KELDK25","5.61000e+16",18jul2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK25","5.61000e+16",01aug2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK25","5.61000e+16",29aug2013,"Moderately happy","Moderately badly","Very well","Very confident"
"KELDK25","5.61000e+16",13sep2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK25","5.61000e+16",27sep2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK33","5.61000e+16",03nov2012,"Moderately happy","Neither well nor badly","Moderately well","Very confident"
"KELDK33","5.61000e+16",24nov2012,"Neither happy nor unhappy","Moderately well","Very well","Very confident"
"KELDK33","5.61000e+16",07jan2013,"Neither happy nor unhappy","Neither well nor badly","Very well","Very confident"
"KELDK33","5.61000e+16",30jan2013,"Moderately happy","Neither well nor badly","Very well","Moderately confident"
"KELDK33","5.61000e+16",09apr2013,"Moderately unhappy","Moderately well","Very well","Very confident"
"KELDK33","5.61000e+16",22apr2013,"Very happy","Moderately well","Very well","Very confident"
"KELDK33","5.61000e+16",06may2013,"Moderately happy","Neither well nor badly","Moderately well","Very confident"
"KELDK33","5.61000e+16",20may2013,"Very happy","Very well","Moderately well","Very confident"
"KELDK33","5.61000e+16",03jun2013,"Moderately happy","Moderately badly","Moderately well","Very confident"
"KELDK33","5.61000e+16",17jun2013,"Very happy","Neither well nor badly","Very well","Very confident"
"KELDK33","5.61000e+16",01jul2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK33","5.61000e+16",30jul2013,"Moderately happy","Moderately well","Moderately well","Very confident"
"KELDK33","5.61000e+16",29aug2013,"Moderately happy","Neither well nor badly","Very well","Very confident"
"KELDK33","5.61000e+16",17sep2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK33","5.61000e+16",01oct2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK33","5.61000e+16",13oct2012,"Moderately unhappy","Neither well nor badly","Very well","Moderately confident"
"KELDK33","5.61000e+16",03nov2012,"Moderately unhappy","Neither well nor badly","Moderately well","Moderately confident"
"KELDK33","5.61000e+16",24nov2012,"Moderately happy","Neither well nor badly","Moderately well","Moderately confident"
"KELDK33","5.61000e+16",22apr2013,"Very happy","Moderately well","Moderately well","Very confident"
"KELDK33","5.61000e+16",01jul2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK33","5.61000e+16",29aug2013,"Moderately happy","Neither well nor badly","Very well","Very confident"
"KELDK33","5.61000e+16",13oct2012,"Very happy","Moderately badly","Moderately well","Moderately confident"
"KELDK33","5.61000e+16",06may2013,"Moderately happy","Moderately well","Very well","Moderately confident"
"KELDK24","5.61000e+16",10oct2012,"Very unhappy","Very badly","Moderately well","Moderately confident"
"KELDK24","5.61000e+16",31oct2012,"Moderately happy","Moderately well","Very well","Moderately confident"
"KELDK24","5.61000e+16",21nov2012,"Moderately happy","Moderately badly","Moderately well","Moderately confident"
"KELDK24","5.61000e+16",16jan2013,"Moderately happy","Neither well nor badly","Very well","Very confident"
"KELDK24","5.61000e+16",10apr2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK24","5.61000e+16",24apr2013,"Moderately happy","Moderately well","Very well","Very confident"
"KELDK24","5.61000e+16",14may2013,"Neither happy nor unhappy","Moderately well","Moderately well","Very confident"
